"Student ID","Number Applications","Approved","Years Registered","Starting Year","Program Graduated","Graduated","Graduation Year","Bachelor_and_Master_Present","Number Applications Master","Master Approved","Years Registered Master","Starting Year Master","Bachelor.Open.Day","Master.Open.Day","Specialization","Mean_Grade_Master","count_A","count_B","count_C","count_D","count_E","count_F","count_EXCELLENT","count_PASS","count_FAIL","count_NO_GRADE","no_of_grades","max_attempts","mean_grade","highest_grade","lowest_grade","std_all_grades","PASS","FAIL","total_credit","program.x","program.y","2501","2504","2012","2013","2014","2015","2016","2017","year1","year2","year3","year4","year5","year6","more_than_three_years","more_than_four_years","more_than_five_years","no_of_ABCDEF_grades","mean_first_half","mean_last_half","diff_last_first","Bachelor","Master","BA ECONOMICS AND BUS","BA INTERNATIONAL BUS","MA Business and Economics","n_bins","max_bin","min_bin","max_resits_for_course","total_resits","applied_both_bsc_programs.x","pre_educ_Foreign.x","pre_educ_HBO","pre_educ_VWO","pre_educ_Uni_Bachelor","pre_educ_Uni_Master","pre_educ_Other","pre_educ_country","gender_bsc","year_of_birth_bsc","nationality_bsc","in_master_um_file","new.target.var"
9000006,1,1,3,2012,"2504",1,2015,1,2,1,2,2015,0,0,NA,8.0625,1,18,6,3,0,0,0,1,0,0,29,"1",6.96428571428571,9,5,0.99002966125199,26,3,180,1,"2504",NA,6.96428571428571,6.46153846153846,7.2,7.8,NA,NA,NA,6.46153846153846,7.2,7.8,NA,NA,NA,0,0,0,28,6.42857142857143,7.5,1.07142857142857,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,1,0,0,0,0,0,"Unknown","Male",1993,"Germany",1,3
9000014,1,1,3,2012,"2504",1,2015,0,NA,NA,NA,NA,0,0,NA,NA,11,12,1,0,0,0,0,2,0,0,26,"0",8.125,9,6,0.875388112682647,26,0,180,1,"2504",NA,8.125,7.8,8.33333333333333,8.4,NA,NA,NA,7.8,8.33333333333333,8.4,NA,NA,NA,0,0,0,24,7.75,8.5,0.75,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,"Unknown","Male",1993,"Germany",0,1
9000028,1,1,4,2013,"2504",1,2017,0,NA,NA,NA,NA,0,0,NA,NA,1,17,6,6,0,2,0,3,0,2,37,"1",6.515625,9,3,1.4226529908091,27,10,180,1,"2504",NA,6.515625,NA,6.5,6,7.1,NA,NA,6.5,6,7.1,NA,NA,NA,0,0,0,32,6.1875,6.84375,0.65625,NA,NA,NA,NA,NA,NA,NA,NA,2,8,0,1,0,0,0,0,0,"Unknown","Male",1993,"Germany",0,1
9000045,1,1,4,2012,"2501",1,2016,1,1,1,3,2015,0,0,"Specialisation Intl Business Economics",7,1,15,8,11,0,1,0,3,1,1,41,"1",6.31944444444444,9,3,1.29919083486485,27,14,180,1,"2501",6.31944444444444,NA,6.5,6.5,5.77777777777778,6.5,NA,NA,6.5,6.5,5.77777777777778,6.5,NA,NA,1,0,0,36,6.25,6.38888888888889,0.138888888888889,NA,NA,NA,NA,NA,NA,NA,NA,3,12,0,0,0,1,0,0,0,"The Netherlands","Male",1994,"the Netherlands",1,2
9000080,NA,NA,3,NA,"2501",1,2018,1,NA,NA,1,NA,0,0,"Specialisation Intl Business Economics",NA,2,13,7,2,0,0,0,4,0,0,28,"1",6.97916666666667,9,5,1.06810647843526,26,2,180,1,"2501",6.97916666666667,NA,NA,NA,NA,6.95,7.05555555555556,6.9,6.95,7.05555555555556,6.9,NA,NA,NA,0,0,0,24,7.04166666666667,6.91666666666667,-0.125,NA,NA,NA,NA,NA,1,3,3,1,2,0,0,0,1,0,0,0,"The Netherlands","Male",1997,"the Netherlands",1,NA
9000091,1,1,3,2014,"2501",1,2017,1,2,1,3,2017,0,0,"Specialisation Intl Business Economics",7.5,1,16,6,2,0,0,0,3,0,0,28,"1",7,9,5,0.957427107756338,26,2,180,1,"2501",7,NA,NA,NA,6.5,7.33333333333333,7.5,NA,6.5,7.33333333333333,7.5,NA,NA,NA,0,0,0,25,6.65384615384615,7.38461538461539,0.730769230769231,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,1,0,0,0,0,0,"Unknown","Female",1997,"Europe",1,3
9000093,1,1,3,2012,"2504",1,2015,0,NA,NA,NA,NA,0,0,NA,NA,8,19,1,0,0,1,0,3,0,0,32,"1",7.70689655172414,9,3,1.18410033192256,31,1,210,1,"2504",NA,7.70689655172414,7.95,7.375,7.92857142857143,NA,NA,NA,7.95,7.375,7.92857142857143,NA,NA,NA,0,0,0,29,7.5,7.9,0.4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,"Unknown","Male",1991,"Germany",0,1
9000114,1,1,3,2013,"2501",1,2016,0,NA,NA,NA,NA,0,0,"Specialisation Economics",NA,1,11,11,5,0,1,0,3,0,0,32,"1",6.39655172413793,9,3,1.24196927688613,26,6,180,1,"2501",6.39655172413793,NA,NA,6.5,5.86363636363636,7,NA,NA,6.5,5.86363636363636,7,NA,NA,NA,0,0,0,29,6.06666666666667,6.63333333333333,0.566666666666667,NA,NA,NA,NA,NA,1,1,1,2,6,0,1,0,0,0,0,1,"Unknown","Female",1994,"North America",0,1
9000127,1,1,3,2015,"2504",1,2018,1,NA,NA,1,NA,0,0,NA,NA,3,19,3,4,0,0,0,1,0,0,30,"1",7.1551724137931,9,5,1.11885981724271,26,4,180,1,"2504",NA,7.1551724137931,NA,NA,NA,7.20833333333333,6.95833333333333,7.5,7.20833333333333,6.95833333333333,7.5,NA,NA,NA,0,0,0,29,7,7.33333333333333,0.333333333333333,NA,NA,NA,NA,NA,1,6,6,1,4,0,1,0,0,0,0,0,"Germany","Female",1996,"Germany",1,NA
9000132,1,1,3,2012,"2504",1,2015,1,1,1,2,2016,0,0,NA,7.38888888888889,2,23,0,0,0,1,0,1,0,0,27,"0",7.44230769230769,9,3,0.993246425384185,26,1,180,1,"2504",NA,7.44230769230769,7.5,7.2,7.75,NA,NA,NA,7.5,7.2,7.75,NA,NA,NA,0,0,0,26,7.5,7.38461538461539,-0.115384615384615,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,"Unknown","Male",1990,"Germany",1,2
9000148,1,1,4,2014,"2504",1,2018,0,NA,NA,NA,NA,0,0,NA,NA,3,16,6,2,0,1,0,1,0,1,30,"1",7,9,3,1.30526001383008,26,4,180,1,"2504",NA,7,NA,NA,7.2,7.27272727272727,6.1,6.75,7.2,7.27272727272727,6.1,6.75,NA,NA,1,0,0,28,7.17857142857143,6.82142857142857,-0.357142857142858,NA,NA,NA,NA,NA,1,12,12,2,3,0,0,0,1,0,0,0,"The Netherlands","Female",1996,"the Netherlands",0,1
9000160,2,1,3,2013,"2501",1,2016,1,1,1,4,2016,0,0,"Specialisation Intl Business Economics",6.1875,3,19,1,0,0,0,0,3,0,0,26,"0",7.6304347826087,9,6,0.625543242171224,26,0,180,1,"2501",7.6304347826087,NA,NA,7.83333333333333,7.5,7.5,NA,NA,7.83333333333333,7.5,7.5,NA,NA,NA,0,0,0,23,7.75,7.5,-0.25,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,0,0,0,0,0,"Unknown","Male",1992,"Germany",1,2
9000182,1,1,3,2015,"2504",1,2018,0,NA,NA,NA,NA,0,0,NA,NA,0,18,7,2,0,0,0,1,0,0,28,"1",6.92592592592593,7.5,5,0.862729386483383,26,2,180,1,"2504",NA,6.92592592592593,NA,NA,NA,7,6.72727272727273,7.2,7,6.72727272727273,7.2,NA,NA,NA,0,0,0,27,6.82142857142857,7.03846153846154,0.217032967032967,NA,NA,NA,NA,NA,1,1,1,1,2,0,1,0,0,0,0,0,"Germany","Male",1995,"Germany",0,1
9000251,1,1,3,2013,"2504",1,2016,0,NA,NA,NA,NA,0,0,NA,NA,0,14,10,6,0,1,0,2,0,0,33,"1",6.38709677419355,7.5,3,1.18116945876643,26,7,180,1,"2504",NA,6.38709677419355,NA,6.68181818181818,6,6.64285714285714,NA,NA,6.68181818181818,6,6.64285714285714,NA,NA,NA,0,0,0,31,6.28125,6.5,0.21875,NA,NA,NA,NA,NA,NA,NA,NA,2,7,0,1,0,0,0,0,0,"Unknown","Male",1993,"Germany",0,1
